Depth,Vp,Vs,Density,Vshale,Peff,Sw,Litho
3294.4796,3049.9489746,1837.2867432,2.2806999683,0.034308631,0.1710184962,0.2072040141,5.0
3294.632,3066.8210449,1813.8830566,2.2904000282,0.0601482727,0.163002193,0.2059499919,5.0
3294.7844,3074.8186035,1795.7636719,2.2904999256,0.0825517252,0.1590820998,0.2172719985,5.0
3294.9368,3078.2314453,1784.590332,2.2792000771,0.1068930775,0.1586696804,0.2110140026,5.0
3295.0892,3078.619873,1776.7901611,2.2748999596,0.1101241261,0.1595396549,0.2247150093,5.0
3295.2416,3061.7595215,1777.2232666,2.2843999863,0.1123310626,0.1559617668,0.2320169955,5.0
3295.394,3032.5192871,1785.8063965,2.2876000404,0.1008638218,0.1568907648,0.2412060052,5.0
3295.5464,3012.6347656,1788.6210938,2.2864999771,0.1318999976,0.1518356204,0.2498460114,5.0
3295.6988,3002.8432617,1786.9967041,2.2887001038,0.1447672397,0.148875013,0.2655090094,5.0
3295.8512,2998.9992676,1785.9780273,2.2892000675,0.1576879472,0.1464669108,0.2600459754,5.0
3296.0036,3012.6196289,1783.4698486,2.2880001068,0.1256223917,0.1524386257,0.2555160224,5.0
3296.156,3034.9951172,1786.6333008,2.2737998962,0.0777517185,0.165726319,0.2586030066,5.0
3296.3084,3050.7670898,1789.4737549,2.2667000294,0.0734965578,0.1689732522,0.251910001,5.0
3296.4608,3052.2546387,1794.4453125,2.2674000263,0.0723689497,0.1689338535,0.2485980093,5.0
3296.6132,3038.8195801,1804.7901611,2.2690000534,0.0932068676,0.1645914912,0.2470049858,5.0
3296.7656,3036.4462891,1797.4559326,2.2651998997,0.1006913707,0.1645226032,0.2502959967,5.0
3296.918,3058.1530762,1783.137207,2.2546000481,0.1265327781,0.1632889211,0.2525070012,5.0
3297.0704,3094.8811035,1767.7579346,2.2546000481,0.0846982822,0.1711096019,0.2640089989,5.0
